edge_id,source_id,target_id,source_type,target_type,capacity_mt_day,cost_inr_per_mt,transit_days,reliability,length_km,status
new_mexico_united_states__waha_united_states,new_mexico_united_states,waha_united_states,international_source,import_port,30243.33,4500,5,0.98,217.58,operating
haynesville_shale_field_united_states__louisiana_united_states,haynesville_shale_field_united_states,louisiana_united_states,international_source,import_port,22402.46,4500,5,0.98,1609.34,operating
massachusetts_united_states__connecticut_united_states,massachusetts_united_states,connecticut_united_states,international_source,import_port,20722.28,4500,5,0.5,197.95,cancelled
uniontown_united_states__kosciusko_united_states,uniontown_united_states,kosciusko_united_states,international_source,import_port,7168.79,4500,5,0.98,1287.0,operating
prudhoe_bay_united_states__caroline_canada,prudhoe_bay_united_states,caroline_canada,international_source,import_port,100811.09,4500,5,0.5,1700.0,cancelled
prudhoe_bay_united_states__nikiski_united_states,prudhoe_bay_united_states,nikiski_united_states,international_source,import_port,78408.62,4500,5,0.5,1298.74,proposed
lambertville_united_states__boston_united_states,lambertville_united_states,boston_united_states,international_source,import_port,69895.69,4500,5,0.98,1820.17,operating
rockland_county_united_states__westchester_county_united_states,rockland_county_united_states,westchester_county_united_states,international_source,import_port,7661.64,4500,5,0.98,59.55,operating
british_columbia_canada__chicago_united_states,british_columbia_canada,chicago_united_states,international_source,import_port,35843.94,4500,5,0.98,3848.0,operating
texas_united_states__chicago_united_states,texas_united_states,chicago_united_states,international_source,import_port,134414.78,4500,5,0.98,2896.82,operating
clarington_united_states__ohio_united_states,clarington_united_states,ohio_united_states,international_source,import_port,44804.93,4500,5,0.98,83.69,operating
new_jersey_united_states__maine_united_states,new_jersey_united_states,maine_united_states,international_source,import_port,896.1,4500,5,0.98,--,operating
harrison_county_united_states__robeson_county_united_states,harrison_county_united_states,robeson_county_united_states,international_source,import_port,33603.7,4500,5,0.5,965.61,cancelled
lancaster_county_united_states__pennsylvania_united_states,lancaster_county_united_states,pennsylvania_united_states,international_source,import_port,38084.19,4500,5,0.98,317.85,operating
fort_nelson_canada__sumas_united_states,fort_nelson_canada,sumas_united_states,international_source,import_port,76168.38,4500,5,0.98,2953.0,operating
gillette_united_states__glen_ullin_united_states,gillette_united_states,glen_ullin_united_states,international_source,import_port,10685.98,4500,5,0.98,486.02,operating
larose_united_states__louisiana_united_states,larose_united_states,louisiana_united_states,international_source,import_port,20610.27,4500,5,0.98,1585.0,operating
alberta_saskatchewan_boundary_canada__ontario_canada,alberta_saskatchewan_boundary_canada,ontario_canada,international_source,import_port,156017.16,4500,5,0.98,14082.0,operating
texas_united_states__louisiana_united_states,texas_united_states,louisiana_united_states,international_source,import_port,147856.26,4500,5,0.98,9495.0,operating
texas_united_states__illinois_united_states,texas_united_states,illinois_united_states,international_source,import_port,42564.68,4500,5,0.98,2574.0,operating
oklahoma_united_states__oklahoma_united_states,oklahoma_united_states,oklahoma_united_states,international_source,import_port,51525.67,4500,5,0.98,3540.0,operating
perryville_hub_united_states__gulf_stream_natural_gas_pipeline_system_united_states,perryville_hub_united_states,gulf_stream_natural_gas_pipeline_system_united_states,international_source,import_port,25538.81,4500,5,0.98,462.0,operating
offshore_gulf_of_mexico_united_states__pascagoula_united_states,offshore_gulf_of_mexico_united_states,pascagoula_united_states,international_source,import_port,7392.81,4500,5,0.98,346.0,operating
kit_carson_united_states__sherman_united_states,kit_carson_united_states,sherman_united_states,international_source,import_port,17921.97,4500,5,0.98,611.23,operating
dawson_creek_canada__kitimat_canada,dawson_creek_canada,kitimat_canada,international_source,import_port,47045.17,4500,5,0.98,670.0,operating
rocky_mountains_anadarko_basin_united_states__california_united_states,rocky_mountains_anadarko_basin_united_states,california_united_states,international_source,import_port,115372.69,4500,5,0.98,6920.0,operating
midwest_united_states__new_york_united_states,midwest_united_states,new_york_united_states,international_source,import_port,67207.39,4500,5,0.98,19312.0,operating
lycoming_county_united_states__charles_county_united_states,lycoming_county_united_states,charles_county_united_states,international_source,import_port,26882.96,4500,5,0.5,197.07,cancelled
susquehanna_county_united_states__schoharie_county_united_states,susquehanna_county_united_states,schoharie_county_united_states,international_source,import_port,14561.6,4500,5,0.5,184.47,cancelled
schererville_united_states__cygnet_united_states,schererville_united_states,cygnet_united_states,international_source,import_port,6720.74,4500,5,0.98,325.09,operating
utos_gas_pipeline_united_states__high_island_offshore_gas_pipeline_united_states,utos_gas_pipeline_united_states,high_island_offshore_gas_pipeline_united_states,international_source,import_port,14729.62,4500,5,0.5,0.21,proposed
prudhoe_bay_united_states__alberta_canada,prudhoe_bay_united_states,alberta_canada,international_source,import_port,100811.09,4500,5,0.5,1126.0,cancelled
gulf_of_mexico_united_states__pascagoula_plant_moss_point_united_states,gulf_of_mexico_united_states,pascagoula_plant_moss_point_united_states,international_source,import_port,26882.96,4500,5,0.98,619.6,operating
dominion_lng_in_maryland_gas_from_ohio_and_virginia_united_states__new_united_kingdom_united_states,dominion_lng_in_maryland_gas_from_ohio_and_virginia_united_states,new_united_kingdom_united_states,international_source,import_port,161297.74,4500,5,0.98,6059.0,operating
ville_platte_united_states__carlyss_united_states,ville_platte_united_states,carlyss_united_states,international_source,import_port,89609.86,4500,5,0.5,159.81,proposed
coquitlam_canada__woodfibre_facility_squamish_canada,coquitlam_canada,woodfibre_facility_squamish_canada,international_source,import_port,5107.76,4500,5,0.5,47.0,construction
tennessee_united_states__roanoke_united_states,tennessee_united_states,roanoke_united_states,international_source,import_port,41668.58,4500,5,0.98,2456.0,operating
texas_united_states__texas_united_states,texas_united_states,texas_united_states,international_source,import_port,53765.91,4500,5,0.98,595.0,operating
pennsylvania_united_states__delaware_united_states,pennsylvania_united_states,delaware_united_states,international_source,import_port,2240.25,4500,5,0.98,732.0,operating
texas_united_states__california_united_states,texas_united_states,california_united_states,international_source,import_port,125453.8,4500,5,0.98,16318.75,operating
tennessee_united_states__mississippi_alabama_united_states,tennessee_united_states,mississippi_alabama_united_states,international_source,import_port,4480.49,4500,5,0.98,475.0,operating
laverne_united_states__wichita_united_states,laverne_united_states,wichita_united_states,international_source,import_port,3584.39,4500,5,0.98,1817.0,operating
winnsboro_united_states__natchez_united_states,winnsboro_united_states,natchez_united_states,international_source,import_port,1075.32,4500,5,0.98,83.69,operating
gulf_of_mexico_united_states__johnson_s_bayou_united_states,gulf_of_mexico_united_states,johnson_s_bayou_united_states,international_source,import_port,44804.93,4500,5,0.5,46.67,idle
conway_county_united_states__panola_county_united_states,conway_county_united_states,panola_county_united_states,international_source,import_port,44804.93,4500,5,0.98,297.73,operating
port_lavaca_united_states__miami_united_states,port_lavaca_united_states,miami_united_states,international_source,import_port,23734.07,4500,5,0.98,8529.52,operating
caroline_canada__monchy_canada,caroline_canada,monchy_canada,international_source,import_port,73928.13,4500,5,0.98,1237.0,operating
gulf_of_mexico_united_states__gulf_of_mexico_united_states,gulf_of_mexico_united_states,gulf_of_mexico_united_states,international_source,import_port,22402.46,4500,5,0.98,84.0,operating
louisiana_united_states__plaquemines_lng_project_united_states,louisiana_united_states,plaquemines_lng_project_united_states,international_source,import_port,44132.85,4500,5,0.5,24.14,construction
emerson_canada__minnesota_wisconsin_michigan_eastern_canada_united_states,emerson_canada,minnesota_wisconsin_michigan_eastern_canada_united_states,international_source,import_port,53765.91,4500,5,0.98,3403.76,operating
joliet_united_states__ixonia_united_states,joliet_united_states,ixonia_united_states,international_source,import_port,16801.85,4500,5,0.98,228.53,operating
sherman_united_states__perryville_united_states,sherman_united_states,perryville_united_states,international_source,import_port,38666.65,4500,5,0.98,568.1,operating
texas_united_states__louisiana_alabama_mississippi_florida_united_states,texas_united_states,louisiana_alabama_mississippi_florida_united_states,international_source,import_port,60486.65,4500,5,0.98,12070.08,operating
wharton_and_brazoria_counties_united_states__wharton_and_brazoria_counties_united_states,wharton_and_brazoria_counties_united_states,wharton_and_brazoria_counties_united_states,international_source,import_port,31811.5,4500,5,0.98,104.61,operating
mobile_county_united_states__florida_united_states,mobile_county_united_states,florida_united_states,international_source,import_port,29347.23,4500,5,0.98,1199.0,operating
gulf_of_mexico_united_states__gulf_of_mexico_utos_gas_pipeline_united_states,gulf_of_mexico_united_states,gulf_of_mexico_utos_gas_pipeline_united_states,international_source,import_port,44804.93,4500,5,0.98,383.02,operating
joliet_united_states__mchenry_county_united_states,joliet_united_states,mchenry_county_united_states,international_source,import_port,8512.94,4500,5,0.98,117.0,operating
horn_river_basin_canada__kotcho_lake_canada,horn_river_basin_canada,kotcho_lake_canada,international_source,import_port,22402.46,4500,5,0.5,100.0,cancelled
multiple_united_states__multiple_united_states,multiple_united_states,multiple_united_states,international_source,import_port,118733.06,4500,5,0.98,6115.51,operating
west_delta_block_68_united_states__mississippi_canyon_block_920_united_states,west_delta_block_68_united_states,mississippi_canyon_block_920_united_states,international_source,import_port,22402.46,4500,5,0.98,222.09,operating
waddington_canada__bronx_united_states,waddington_canada,bronx_united_states,international_source,import_port,11201.23,4500,5,0.98,669.0,operating
opal_united_states__daggett_united_states,opal_united_states,daggett_united_states,international_source,import_port,48613.35,4500,5,0.98,2763.24,operating
wyoming_united_states__missouri_nebraska_united_states,wyoming_united_states,missouri_nebraska_united_states,international_source,import_port,18594.05,4500,5,0.98,7491.5,operating
pennsylvania_united_states__ohio_united_states,pennsylvania_united_states,ohio_united_states,international_source,import_port,34275.77,4500,5,0.98,257.5,operating
cotton_valley_united_states__new_orleans_united_states,cotton_valley_united_states,new_orleans_united_states,international_source,import_port,15681.72,4500,5,0.98,3218.69,operating
inuvik_area_facility_canada__alberta_canada,inuvik_area_facility_canada,alberta_canada,international_source,import_port,26882.96,4500,5,0.5,1220.0,cancelled
goldboro_canada__dracut_united_states,goldboro_canada,dracut_united_states,international_source,import_port,18594.05,4500,5,0.98,1432.0,operating
bennington_united_states__butler_united_states,bennington_united_states,butler_united_states,international_source,import_port,34342.98,4500,5,0.98,816.42,operating
portland_united_states__joliet_united_states,portland_united_states,joliet_united_states,international_source,import_port,14561.6,4500,5,0.98,589.02,operating
starr_county_united_states__monterrey_mexico,starr_county_united_states,monterrey_mexico,international_source,import_port,14337.58,4500,5,0.98,144.84,operating
lake_erie_united_states__mount_vernon_united_states,lake_erie_united_states,mount_vernon_united_states,international_source,import_port,11201.23,4500,5,0.98,292.9,operating
mississippi_canyon_united_states__louisiana_united_states,mississippi_canyon_united_states,louisiana_united_states,international_source,import_port,17921.97,4500,5,0.98,71.62,operating
topock_united_states__kern_county_united_states,topock_united_states,kern_county_united_states,international_source,import_port,8960.99,4500,5,0.98,804.7,operating
wetzel_county_united_states__pittsylvania_county_united_states,wetzel_county_united_states,pittsylvania_county_united_states,international_source,import_port,44804.93,4500,5,0.98,487.63,operating
west_virginia_united_states__west_virginia_united_states,west_virginia_united_states,west_virginia_united_states,international_source,import_port,60486.65,4500,5,0.98,275.2,operating
texas_permian_basin_gulf_of_mexico_united_states__chicago_united_states,texas_permian_basin_gulf_of_mexico_united_states,chicago_united_states,international_source,import_port,35843.94,4500,5,0.98,14645.03,operating
ship_shoal_block_207_green_canyon_corridor_united_states__neptune_gas_processing_plant_st_mary_s_parish_united_states,ship_shoal_block_207_green_canyon_corridor_united_states,neptune_gas_processing_plant_st_mary_s_parish_united_states,international_source,import_port,13441.48,4500,5,0.98,154.0,operating
nueces_county_united_states__rio_grande_city_united_states,nueces_county_united_states,rio_grande_city_united_states,international_source,import_port,47045.17,4500,5,0.98,199.56,operating
kensington_united_states__willow_run_united_states,kensington_united_states,willow_run_united_states,international_source,import_port,33603.7,4500,5,0.98,410.38,operating
ehrenberg_united_states__ogilby_united_states,ehrenberg_united_states,ogilby_united_states,international_source,import_port,13441.48,4500,5,0.98,129.0,operating
sumas_united_states__la_plata_county_united_states,sumas_united_states,la_plata_county_united_states,international_source,import_port,85129.36,4500,5,0.98,6276.44,operating
kingsgate_canada__malin_united_states,kingsgate_canada,malin_united_states,international_source,import_port,64967.15,4500,5,0.98,2177.44,operating
foothills_canada__fort_nelson_canada,foothills_canada,fort_nelson_canada,international_source,import_port,179219.71,4500,5,0.98,24500.0,operating
wantage_sussex_county_united_states__pleasant_valley_united_states,wantage_sussex_county_united_states,pleasant_valley_united_states,international_source,import_port,0.0,4500,5,0.5,106.0,cancelled
texas_united_states__texas_united_states,texas_united_states,texas_united_states,international_source,import_port,26882.96,4500,5,0.98,966.0,operating
kensington_processing_plant_united_states__monroe_county_united_states,kensington_processing_plant_united_states,monroe_county_united_states,international_source,import_port,12321.36,4500,5,0.98,122.31,operating
pittsburg_county_united_states__missouri_united_states,pittsburg_county_united_states,missouri_united_states,international_source,import_port,3808.42,4500,5,0.98,589.0,operating
malin_united_states__jordan_cove_lng_terminal_coos_bay_united_states,malin_united_states,jordan_cove_lng_terminal_coos_bay_united_states,international_source,import_port,45342.59,4500,5,0.5,368.54,cancelled
summit_lake_canada__kitimat_canada,summit_lake_canada,kitimat_canada,international_source,import_port,30467.35,4500,5,0.5,471.0,shelved
oklahoma_united_states__indiana_ohio_united_states,oklahoma_united_states,indiana_ohio_united_states,international_source,import_port,62726.9,4500,5,0.98,1384.04,operating
luzerne_county_united_states__pennsylvania_united_states,luzerne_county_united_states,pennsylvania_united_states,international_source,import_port,24799.53,4500,5,0.5,109.44,cancelled
jefferson_county_united_states__st_landry_parish_united_states,jefferson_county_united_states,st_landry_parish_united_states,international_source,import_port,44804.93,4500,5,0.5,115.87,proposed
pittsburg_united_states__westbrook_united_states,pittsburg_united_states,westbrook_united_states,international_source,import_port,4704.52,4500,5,0.98,474.76,operating
