node_id,node_type,name,country,owner,status,capacity_mt_day,demand_mt_day,latitude,longitude
new_mexico_united_states,international_source,New Mexico,United States,Summit Midstream Partners LP [70.00%]; ExxonMobil [30.00%],operating,30243.33,0.0,32.536999,-103.829316
waha_united_states,import_port,Waha,United States,Summit Midstream Partners LP [70.00%]; ExxonMobil [30.00%],operating,30243.33,0.0,32.2629,-104.126585
haynesville_shale_field_united_states,international_source,Haynesville shale field,United States,Enterprise Products Partners [100.00%],operating,22402.46,0.0,32.217872,-93.715924
louisiana_united_states,import_port,Louisiana,United States,Enterprise Products Partners [100.00%],operating,22402.46,0.0,30.437255,-91.179409
massachusetts_united_states,international_source,Massachusetts,United States,Enbridge [100.00%],cancelled,20722.28,0.0,42.250574,-70.998781
connecticut_united_states,import_port,Connecticut,United States,Enbridge [100.00%],cancelled,20722.28,0.0,41.400723,-73.475818
uniontown_united_states,international_source,Uniontown,United States,Enbridge [100.00%],operating,7168.79,0.0,,
kosciusko_united_states,import_port,Kosciusko,United States,Enbridge [100.00%],operating,7168.79,0.0,,
prudhoe_bay_united_states,international_source,Prudhoe Bay,United States,TC Energy; ExxonMobil,cancelled,100811.09,0.0,,
caroline_canada,import_port,Caroline,Canada,TC Energy; ExxonMobil,cancelled,100811.09,0.0,,
nikiski_united_states,import_port,Nikiski,United States,Alaska Gasline Development Corp [100.00%],proposed,78408.62,0.0,60.674865,-151.357189
lambertville_united_states,international_source,Lambertville,United States,Enbridge [100.00%],operating,69895.69,0.0,40.361664,-74.940096
boston_united_states,import_port,Boston,United States,Enbridge [100.00%],operating,69895.69,0.0,42.491592,-70.829481
rockland_county_united_states,international_source,Rockland County,United States,Enbridge [100.00%],operating,7661.64,0.0,,
westchester_county_united_states,import_port,Westchester County,United States,Enbridge [100.00%],operating,7661.64,0.0,,
british_columbia_canada,international_source,British Columbia,Canada,Alliance USA [50.00%]; Alliance Canada [50.00%],operating,35843.94,0.0,54.597543,-118.234573
chicago_united_states,import_port,Chicago,United States,Alliance USA [50.00%]; Alliance Canada [50.00%],operating,35843.94,0.0,41.459706,-88.132283
texas_united_states,international_source,Texas,United States,ANR Pipeline Co [100.00%],operating,134414.78,0.0,36.537197,-99.817135
clarington_united_states,international_source,Clarington,United States,XcL Midstream LLC [100.00%],operating,44804.93,0.0,,
ohio_united_states,import_port,Ohio,United States,XcL Midstream LLC [100.00%],operating,44804.93,0.0,,
new_jersey_united_states,international_source,New Jersey,United States,Enbridge [100.00%],operating,896.1,0.0,,
maine_united_states,import_port,Maine,United States,Enbridge [100.00%],operating,896.1,0.0,,
harrison_county_united_states,international_source,Harrison County,United States,Atlantic Coast Pipeline LLC [100.00%],cancelled,33603.7,0.0,36.544856,-77.508356
robeson_county_united_states,import_port,Robeson County,United States,Atlantic Coast Pipeline LLC [100.00%],cancelled,33603.7,0.0,37.914111,-78.979404
lancaster_county_united_states,international_source,Lancaster County,United States,Williams Companies [60.80%]; NextEra Energy [39.20%],operating,38084.19,0.0,41.716123,-75.70703
pennsylvania_united_states,import_port,Pennsylvania,United States,Williams Companies [60.80%]; NextEra Energy [39.20%],operating,38084.19,0.0,41.273146,-76.407301
fort_nelson_canada,international_source,Fort Nelson,Canada,Enbridge [100.00%],operating,76168.38,0.0,56.0877,-120.666
sumas_united_states,import_port,Sumas,United States,Enbridge [100.00%],operating,76168.38,0.0,55.863701,-120.197998
gillette_united_states,international_source,Gillette,United States,TC Energy [100.00%],operating,10685.98,0.0,,
glen_ullin_united_states,import_port,Glen Ullin,United States,TC Energy [100.00%],operating,10685.98,0.0,,
larose_united_states,international_source,Larose,United States,EnLink Midstream [100.00%],operating,20610.27,0.0,29.764438,-93.907285
alberta_saskatchewan_boundary_canada,international_source,Alberta-Saskatchewan boundary,Canada,TransCanada PipeLines Ltd [100.00%],operating,156017.16,0.0,43.085493,-79.195757
ontario_canada,import_port,Ontario,Canada,TransCanada PipeLines Ltd [100.00%],operating,156017.16,0.0,50.606519,-108.697972
illinois_united_states,import_port,Illinois,United States,Enable Midstream Partners LP [100.00%],operating,42564.68,0.0,38.668875,-90.103533
oklahoma_united_states,international_source,Oklahoma,United States,Enable Midstream Partners LP [100.00%],operating,51525.67,0.0,36.652182,-98.764464
perryville_hub_united_states,international_source,Perryville Hub,United States,Enbridge [50.00%]; Enable Midstream Partners LP [50.00%],operating,25538.81,0.0,32.706252,-92.005366
gulf_stream_natural_gas_pipeline_system_united_states,import_port,Gulf Stream Natural Gas Pipeline System,United States,Enbridge [50.00%]; Enable Midstream Partners LP [50.00%],operating,25538.81,0.0,30.70648,-88.565084
offshore_gulf_of_mexico_united_states,international_source,offshore Gulf of Mexico,United States,EnLink Midstream [100.00%],operating,7392.81,0.0,30.370011,-88.569357
pascagoula_united_states,import_port,Pascagoula,United States,EnLink Midstream [100.00%],operating,7392.81,0.0,30.185461,-88.284115
kit_carson_united_states,international_source,Kit Carson,United States,El Paso Corp [100.00%],operating,17921.97,0.0,,
sherman_united_states,import_port,Sherman,United States,El Paso Corp [100.00%],operating,17921.97,0.0,,
